,question,ans,blanks,a),b),c),d),e)
74911,I'd like you to meet Tom. _____ is my best friend.,b,1,I'd like you to meet Tom. She is my best friend.,I'd like you to meet Tom. He is my best friend.,I'd like you to meet Tom. We is my best friend.,I'd like you to meet Tom. You is my best friend.,
74912,We _____ /həʊp/ to see you soon. ,d,1,We soap /həʊp/ to see you soon.,We hour /həʊp/ to see you soon.,We help /həʊp/ to see you soon.,We hope /həʊp/ to see you soon.,
74913,Eye doctors recommend that a child's first eye exam _____ at the age of six months old. ,d,1,Eye doctors recommend that a child's first eye exam was at the age of six months old.,Eye doctors recommend that a child's first eye exam were at the age of six months old.,Eye doctors recommend that a child's first eye exam is at the age of six months old.,Eye doctors recommend that a child's first eye exam be at the age of six months old.,
74914,I'm afraid that my umbrella was _____ on the bus because I was in a hurry. ,c,1,I'm afraid that my umbrella was put on the bus because I was in a hurry.,I'm afraid that my umbrella was forgot on the bus because I was in a hurry.,I'm afraid that my umbrella was left on the bus because I was in a hurry.,I'm afraid that my umbrella was took on the bus because I was in a hurry.,
74915,Ensuring every child equal rights to education is _____ the key to the elimination of inequality across the world lies. ,d,1,Ensuring every child equal rights to education is that the key to the elimination of inequality across the world lies.,Ensuring every child equal rights to education is what the key to the elimination of inequality across the world lies.,Ensuring every child equal rights to education is whether the key to the elimination of inequality across the world lies.,Ensuring every child equal rights to education is where the key to the elimination of inequality across the world lies.,
74916,Those _____ my grandparents. They like me very much.,d,1,Those be my grandparents. They like me very much.,Those am my grandparents. They like me very much.,Those is my grandparents. They like me very much.,Those are my grandparents. They like me very much.,
74917,The _____ played a recital in our town. ,a,1,The pianist played a recital in our town.,The governor played a recital in our town.,The worker played a recital in our town.,,
74918,My name is Tom Smith. My _____ name is Smith.,b,1,My name is Tom Smith. My first name is Smith.,My name is Tom Smith. My last name is Smith.,My name is Tom Smith. My middle name is Smith.,My name is Tom Smith. My given name is Smith.,
74919,How _____ you go to school?,b,1,How can you go to school?,How do you go to school?,How are you go to school?,,
74920,I put my keys in my _____ /bæg/. ,c,1,I put my keys in my big /bæg/.,I put my keys in my box /bæg/.,I put my keys in my bag /bæg/.,I put my keys in my boy /bæg/.,
74921,They are my _____ . ,c,1,They are my father .,They are my mother .,They are my parents .,,
74922,The old man is lonely. Let's have dinner _____ him.,b,1,The old man is lonely. Let's have dinner for him.,The old man is lonely. Let's have dinner with him.,The old man is lonely. Let's have dinner of him.,The old man is lonely. Let's have dinner at him.,
74923,I have a friend. _____ name's Kitty.,a,1,I have a friend. Her name's Kitty.,I have a friend. His name's Kitty.,I have a friend. My name's Kitty.,,
74924,Let's find it _____ the computer now. ,b,1,Let's find it in the computer now.,Let's find it on the computer now.,Let's find it at the computer now.,Let's find it off the computer now.,
74925,Even the birth order can make a difference. US psychologist Keven Leman says that the birth order decides how parents treat their children. It will then lead to different _____ in children.,c,1,Even the birth order can make a difference. US psychologist Keven Leman says that the birth order decides how parents treat their children. It will then lead to different methods in children.,Even the birth order can make a difference. US psychologist Keven Leman says that the birth order decides how parents treat their children. It will then lead to different commands in children.,Even the birth order can make a difference. US psychologist Keven Leman says that the birth order decides how parents treat their children. It will then lead to different personalities in children.,Even the birth order can make a difference. US psychologist Keven Leman says that the birth order decides how parents treat their children. It will then lead to different meanings in children.,
74926,We _____ call it a small lion. ,b,1,We not call it a small lion.,We don't call it a small lion.,We doesn't call it a small lion.,,
74927,Lucy and I _____ helpful at home. ,c,1,Lucy and I am helpful at home.,Lucy and I is helpful at home.,Lucy and I are helpful at home.,,
74928,It is not a problem _____ we can win the battle; it's just a matter of time. ,a,1,It is not a problem whether we can win the battle; it's just a matter of time.,It is not a problem why we can win the battle; it's just a matter of time.,It is not a problem when we can win the battle; it's just a matter of time.,It is not a problem where we can win the battle; it's just a matter of time.,
74929,"What animal do you like _____ , a dog, a cat or a pig?",c,1,"What animal do you like well , a dog, a cat or a pig?","What animal do you like better , a dog, a cat or a pig?","What animal do you like best , a dog, a cat or a pig?","What animal do you like very , a dog, a cat or a pig?",
74930,"Tom, Don't play the computer _____ /geim/. It's not healthy.",c,1,"Tom, Don't play the computer guess /geim/. It's not healthy.","Tom, Don't play the computer gate /geim/. It's not healthy.","Tom, Don't play the computer game /geim/. It's not healthy.","Tom, Don't play the computer great /geim/. It's not healthy.",
